job_category_source,n
Mental Health Health,2
"Green Jobs Policy, Research & Analysis",2
"Communications & Intergovernmental Affairs Legal Affairs Public Safety, Inspections, & Enforcement Social Services",2
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Building Operations & Maintenance Policy, Research & Analysis Social Services",1
"Green Jobs Finance, Accounting, & Procurement Building Operations & Maintenance",1
"Administration & Human Resources Policy, Research & Analysis Public Safety, Inspections, & Enforcement",1
Constituent Services & Community Programs Communications & Intergovernmental Affairs Building Operations & Maintenance,1
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",1
"Constituent Services & Community Programs Green Jobs Communications & Intergovernmental Affairs Policy, Research & Analysis Social Services",1
Constituent Services & Community Programs Building Operations & Maintenance,1
"Administration & Human Resources Engineering, Architecture, & Planning Building Operations & Maintenance",1
"Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",1
"Constituent Services & Community Programs Policy, Research & Analysis Social Services",1
"Constituent Services & Community Programs Green Jobs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",1
"Engineering, Architecture, & Planning Building Operations & Maintenance",1
"Administration & Human Resources Constituent Services & Community Programs Green Jobs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",1
"Administration & Human Resources Green Jobs Policy, Research & Analysis",1
