file,n_columns,columns
data/reference/onet/extracted/31.0/db_31_0_csv/transferable_skills_to_work_context.csv,4,Transferable Skills Element ID | Transferable Skills Element Name | Work Context Element ID | Work Context Element Name
data/reference/onet/extracted/31.0/db_31_0_csv/work_activities.csv,15,O*NET-SOC Code | Title | Element ID | Element Name | Scale ID | Scale Name | Data Value | N | Standard Error | Lower CI Bound | Upper CI Bound | Recommend Suppress | Not Relevant | Date | Domain Source
data/reference/onet/extracted/31.0/db_31_0_csv/work_context.csv,16,O*NET-SOC Code | Title | Element ID | Element Name | Scale ID | Scale Name | Category | Data Value | N | Standard Error | Lower CI Bound | Upper CI Bound | Recommend Suppress | Not Relevant | Date | Domain Source
data/reference/onet/extracted/31.0/db_31_0_csv/work_context_categories.csv,6,Element ID | Element Name | Scale ID | Scale Name | Category | Category Description
data/reference/onet/extracted/31.0/db_31_0_csv/work_styles.csv,9,O*NET-SOC Code | Title | Element ID | Element Name | Scale ID | Scale Name | Data Value | Date | Domain Source
data/reference/onet/extracted/31.0/db_31_0_csv/work_styles_to_work_activities.csv,4,Work Styles Element ID | Work Styles Element Name | Work Activities Element ID | Work Activities Element Name
data/reference/onet/extracted/31.0/db_31_0_csv/work_styles_to_work_context.csv,4,Work Styles Element ID | Work Styles Element Name | Work Context Element ID | Work Context Element Name
data/reference/esco/extracted/api_v1.2.1/occupation_hierarchy.csv,4,conceptUri | broaderUri | broaderLabel | broaderType
data/reference/esco/extracted/api_v1.2.1/occupation_skill_relations.csv,5,occupationUri | relationType | skillType | skillUri | skillLabel
data/reference/esco/extracted/api_v1.2.1/occupations.csv,9,conceptUri | preferredLabel | altLabels | description | scopeNote | code | status | iscoGroup | naceCodes
data/reference/esco/extracted/api_v1.2.1/skill_hierarchy.csv,4,conceptUri | broaderUri | broaderLabel | broaderType
data/reference/esco/extracted/api_v1.2.1/skills.csv,7,conceptUri | preferredLabel | altLabels | description | status | skillType | reuseLevel
data/raw/jobs/nyc_jobs/retrieval_20260925T052537Z/jobs_nyc_postings.csv,30,Job ID | Agency | Posting Type | # Of Positions | Business Title | Civil Service Title | Title Classification | Title Code No | Level | Job Category | Full-Time/Part-Time indicator | Career Level | Salary Range From | Salary Range To | Salary Frequency | Work Location | Division/Work Unit | Job Description | Minimum Qual Requirements | Preferred Skills | Additional Information | To Apply | Hours/Shift | Work Location 1 | Recruitment Contact | Residency Requirement | Posting Date | Post Until | Posting Updated | Process Date
data/raw/jobs/arbeitnow/retrieval_20260925T052546Z/page_001.json,10,slug | company_name | title | description | remote | url | tags | job_types | location | created_at
