source,min_posted,max_posted,median_posted,n_dated,collected
arbeitnow,2026-09-20,2026-09-25,2026-09-23,2726,2026-09-25
nyc_jobs,2025-09-25,2026-09-21,2026-08-25,2771,2026-09-25
